,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92
NX02,0.592592593,0,0,0,1.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74074074,0,0,0,0,0,0,0,0,1.481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,0,0,0,12,0,1.037037037,0,0,0.814814815,0,0,0,0.148148148,0,0,1.037037037
NX03,0,0,0,0,0.888888889,0,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0.222222222,0,0,0,0,0,0,3.407407407,0,0,0,0,0,0,0,0,3.111111111,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,2.296296296,0,0,0.296296296,9.851851852,0,0.740740741,0,0,0.444444444,0,0,0,0.148148148,0,0,1.185185185
NX04,0,0,0,0,0,0,0.296296296,0.074074074,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,7.851851852,0,0,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0.148148148,14.96296296,0,4.444444444,0,0,1.925925926,0,0,0,1.185185185,0,0,2.444444444
NX05,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,1.185185185,0,0,0,0,0,0.148148148,0,0,0,0,0,0.148148148,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,1.62962963,0.148148148,0,0,0,0,0,0,0,1.481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.851851852,0,0,0.296296296,15.03703704,0,1.62962963,0,0,2.074074074,0,0,0,0.592592593,0,0,1.037037037
NX06,0,0.074074074,0,0,0.148148148,0,0.148148148,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0.222222222,0,0,0,0.148148148,0,0,0,0,0,0,0,1.777777778,0,0,0,0,0,0,0,0,1.037037037,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.296296296,25.25925926,0,2.074074074,0,0,2.814814815,0,0,0,1.185185185,0,0,1.851851852
SSLJH01,0,1.777777778,9.777777778,0,5.777777778,0,0,11.11111111,2.222222222,0,1.333333333,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0.444444444,0,0,0,0,0,2.666666667,0,0,0,0,34.22222222,0,0,40,0,0,0,0,0,2.666666667,0,0,0,0,0,3.555555556,0,0,0,0,0,12,0,0,0,2.222222222,0,0,18.22222222,0,0,0,0,0,1.333333333,0,0,0,0,0,7.111111111
SSLJH02,0,7.555555556,7.555555556,0,2.666666667,0,0,19.55555556,3.555555556,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.66666667,0,0,0,0,0,0.888888889,0,0.888888889,0,0,0,0,4.444444444,0,0,0,0,0,0,0,0,0,0,0,0,99.11111111,0,0,34.22222222,0,0,0,0,0,25.77777778,0,0,0,0,0,0.888888889,0,0,0,0,0,18.22222222,0,0,0,4.444444444,0,0,43.11111111,0,0,0,0,0,5.777777778,0,0,0,0,0,26.66666667
SSLJH03,0,1.777777778,0.444444444,0,1.777777778,0,0,5.777777778,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55555556,0,0,0,0,0,0.444444444,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,119.5555556,0,0,54.22222222,0,0,0,0,0,27.11111111,0,0,0,0,0,0,0,0,0,0,0,13.77777778,0,0,0,0.888888889,0,0,14.22222222,0,0,0,0,2.666666667,5.777777778,0,0,0,0,0,2.222222222
SSLJH04,0,4.444444444,2.222222222,0,0.444444444,0,0,3.555555556,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.77777778,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111,0,0,0,0,0,0,0,0,0,0,0,0,156.8888889,0,0,30.22222222,0,0,0,0,0,44.88888889,0,0,0,0,0,0,0,0,0,0,0,16.88888889,0,0,0,0.888888889,0,0,7.555555556,0,0,0,0,2.666666667,0.888888889,0,0,0,0,0,18.66666667
DZ01,0,0.592592593,0.074074074,0,0,0,0.148148148,0.148148148,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0.814814815,0,0,0,0,0.074074074,0,0,0,0,0,0,0,1.185185185,0,0,0,0,0,0,0,0,0,0,0.518518519,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,5.62962963,0,0,20.74074074,0,0,0,0,0.222222222,0.148148148,0,0,0,0,0,9.111111111
