,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
96,0.745,0.009,0.25,0.666666667,0,0,0
97,0.086,0.056,0.25,1,0,0.666666667,0
98,0.262,0.018,0.285714286,0,0,0.5,0
99,0.365,0.005,0.25,1,0.2,0.5,0
100,0.391,0.002,0.25,0,0,0.5,0
101,0.31,0.042,0.444444444,1,0,0.666666667,0
102,0.576,0.066,0.444444444,0.666666667,0,0,0
103,0.826,0.017,0.6,0.666666667,0,0.666666667,0
104,0.67,0.031,0.25,0.666666667,0,0,0
105,0.112,0.011,0.25,0,0,0.666666667,0
106,1.097,0.016,0.6,0.666666667,0.333333333,1,0
107,1.055,0.03,0.6,0.666666667,0,0,0
108,0.882,0.253,0.75,1,0,0,0
109,0.917,0.109,0.444444444,1,0.363636364,0,0
110,0.712,0.026,0.25,1,0.285714286,0.5,0
111,0.813,0.017,0,0,0,0.4,0
112,0.926,0.003,0,0.666666667,0,0,0
113,0.638,0.022,0.444444444,0,0,0.8,0
114,0.704,0.018,0.25,0.666666667,0,0,0
115,0.817,0.029,0.25,0,0,0.666666667,0
