"","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"1991/1/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,242,0,4,0,1,0
"1991/2/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39.5,0.5,0,0,0,0
"1991/3/13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"1991/4/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,242,0,1.5,0,0,0
"1991/5/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,2.5,0
"1991/6/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1991/7/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,1,0
"1991/8/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991/9/11",0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,60,0,0,26,0,124,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,356,0
"1991/10/9",0,22,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,64,2,0,0,8,0
"1991/11/13",0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,4,0,61,0,0,8,0,0,0,0,0,0,0,0,142,9,0,0,0,0
"1991/12/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123,0,0,10,0,0,0,0,0,0,0,0,444,0,4,0,0,0
"1992/1/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,29,0,0,0.5,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"1992/2/5",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1992/3/11",0,0,0,2.5,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,4,0,18,0,16.5,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0
"1992/4/8",0,0,0,14.5,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,110,0,75,0,37.5,0.5,0,0,0,0,0,0,0,0,162.5,0,0,0,0,0
"1992/5/6",0,0,0,0,0,23,0,0,0,0,0,0,0,0,31,0,0,0,12,0,641,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0
"1992/6/10",0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,161.5,0,0,0,0,0,0,0,0,0,0,0,510.5,0.5,2.5,0,143,0
"1992/7/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"1992/8/5",0,0,5,0,0,77,0,0,0,0,0,0,0,0,6,0,0,0,27,0,15,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,78,0
"1992/9/9",0,0,4,0,0,106,0,0,0,0,0,0,0,0,0,0,1,0,15,0,29,0,0,1,0,0,0,0,0,0,0,0,31,12,0,0,329,0
"1992/10/7",0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,197,0,0,2,0,0,0,0,0,0,0,0,220,6,0,0,202,0
"1992/11/11",0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,7,0
"1992/12/9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,180.5,0,0,0,4.5,0
"1993/1/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,0
"1993/2/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
