"","Date","Station","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023.1","Z023.2","Z023.3","Z024","Z025","Z026","Z027","Z028","Z030","Z032","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"186","1988/09/14",3,0,0,0,1.5,0,0,0,0,0,0,0,70.5,133.5,0.5,74,0,0,0,1,0,0,0,0,35,0,0,0,0,14.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,17,0,276,0,0,11,3.5,0,0,0,0,0,0,0,183,84,9,0,68,0
"187","1988/10/12",3,0,0,0,22,0,0,0,0,0,0,0,38,228.5,0,273,0,1,0,20.5,0,0,0,0,14,0,0,0,0,4,0,0,0,13,0,0,11.5,0,0,0,0,0,0,0,0,0,0,15,0,36.5,4,97.5,0,0,17.5,0,0,0,0,0,0,0,0,216,8.5,6.5,0,129,0
"188","1988/11/09",3,0,0,0,32.5,0,0,0,0,0,0,0,89,184.5,0,50.5,0,3,0,113.5,0,7.5,0,0,4.5,0,0,0,0,0.5,0,0,0,2,0,0,37,0,3,0,0,0,0,0,0,0,0,0.5,0,37.5,0,367.5,0,0,7,0,0,0,0,0,0,0,0,222,30.5,0.5,0,37,0
"189","1988/12/07",3,0,0,0,4.5,0,0,0,0,0,0,0,24.5,55.5,0,51.5,0,0,0,7,0,128.5,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,7,0,0,0,0,0,0,0,0,258,1,4.5,0,2.5,0
"190","1989/01/11",3,0,0,0,0,0,0,0,0,0,0,0,0.5,29.5,0,4.5,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"191","1989/02/08",3,0,0,0,0,0,0,0,0,0,0,0,12.8,103.5,0,3.8,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,3,0,0,0,0.5,0,15.5,0,0.3,0,0,0,0,0,0,0,0,0,36.3,0,0.5,0,0.3,0
"193","1989/04/12",3,0,0,0,0,0,0,0,0,0,0,0,51,110.5,0,0.5,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,145.5,0,0,0,0,0
"194","1989/05/10",3,0,0,0,0.5,0,0,0,0,0,0,0,14.5,79.3,0,0.3,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,0,0,0.3,0,0,0.8,0,0,13.5,0,0,0,0,0,171.8,0,0,0.3,0,0,0,0,0,0,0,0,60.8,0,0.3,0,11.5,0
"195","1989/06/14",3,0,0,0,10.5,0,0,0,0,0,0,0,4,46.5,0,0.5,0,0,0,0,0,2.5,0,0,1.5,0,0,0,0,0,0,0,8.5,0,1.5,0,5.5,0,1,0.5,0,0,0,0,0,84.5,0,0,0,0.5,0,273.5,0,0,0,0,0,0,0,0,0,0,0,154.5,0,1,0,32,0
"196","1989/07/12",3,0,0,0,43,0,0,0,0,0,0,0,21,353,0,35,0,0,0,0,0,1,0,0,130,0,0,0,0,1,0,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,102,4,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
