"","XH02","QDH03","QDH04","QDH05","HJ01","HJ02","HJ03","HJ04","HJ05","HJ06","NX04","NX05","XFJ01","XFJ02","XFJ03","XFJ04","XFJ05","XFJ06","LXH01","LXH02","LXH03","LXH04","LXH05","LXH06","GZ01","GZ02","GZ03","GZ04","GZ06"
"P113",0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,15613.28213,5719.960278,8620.603642,29320.97082,13702.05174,0,0,19814.24149,0,3813.306852,4929.396662,12631.57895,11228.07018,13473.68421,22456.14035,12631.57895
"P114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425.512935,0,2105.263158,0,0,0,0,0,0,0,0,0
"P115",0,0,0,4990.253411,0,0,0,0,0,0,0,0,0,0,0,10536.29334,1047.177529,0,0,0,0,0,0,0,0,0,0,0,0
"P116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,13473.68421,0,0
"P118",0,0,0,0,0,0,0,0,0,0,0,0,10637.11911,3469.618252,0,0,0,0,0,0,0,0,0,0,12631.57895,0,13473.68421,33684.21053,0
"P120",0,0,0,0,4593.301435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P121",0,6315.789474,0,9980.506823,0,0,0,0,0,0,0,0,0,0,13346.57398,0,0,0,0,0,3962.848297,3484.573503,0,0,0,0,0,0,25263.15789
"P122",0,6315.789474,0,0,50526.31579,55119.61722,69959.51417,34646.61654,0,52156.19694,0,14436.09023,1063.711911,4337.022815,7626.613704,3831.379396,2094.355059,0,3484.573503,0,0,0,0,0,37894.73684,44912.2807,26947.36842,22456.14035,50526.31579
"P128",2591.093117,0,0,0,0,0,15546.5587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16754.84047,0,0,0,0,0,0,0,0,0,0,0,0
"P136",20728.74494,44210.52632,0,19961.01365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P137",0,0,0,0,41339.71292,24497.60766,0,0,0,0,0,0,3191.135734,13878.47301,22879.84111,5747.069095,9424.597764,0,0,0,0,0,0,0,0,0,0,11228.07018,0
"P138",2591.093117,18947.36842,0,0,0,24497.60766,23319.83806,51969.92481,43935.92677,71714.7708,0,0,0,2602.213689,0,0,0,0,3484.573503,0,0,0,0,0,0,0,26947.36842,0,0
"P140",0,1136842.105,2269090.909,114775.8285,0,0,0,0,0,0,31093.11741,14436.09023,0,0,0,0,0,0,52268.60254,14736.84211,19814.24149,31361.16152,11439.92056,4929.396662,214736.8421,123508.7719,107789.4737,123508.7719,138947.3684
"P142",2591.093117,0,0,0,0,0,0,0,0,0,0,0,2127.423823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11228.07018,0
"P144",2591.093117,0,0,0,0,0,0,5774.43609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P149",0,0,27559.80861,12475.63353,0,0,0,11548.87218,0,6519.524618,0,0,0,0,112492.5521,34482.41457,39792.74611,10276.5388,3484.573503,0,3962.848297,3484.573503,0,0,0,0,0,0,0
"P150",0,0,73492.82297,7485.380117,0,18373.20574,0,0,0,0,0,0,14891.96676,28624.35058,24786.49454,13409.82789,11518.95282,0,0,0,0,0,0,0,0,0,0,0,0
"P151",0,0,0,0,0,0,0,0,0,0,15546.5587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P152",0,0,0,0,0,0,0,0,0,0,0,0,1063.711911,867.4045629,5719.960278,957.8448491,1047.177529,0,0,0,0,0,0,0,0,0,0,0,0
"P153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906.653426,1915.689698,0,3425.512935,0,0,0,0,0,0,0,0,0,0,0
"P154",0,296842.1053,45933.01435,2495.126706,0,0,7773.279352,0,0,0,0,0,13828.25485,14745.87757,19066.53426,6704.913944,10471.77529,37680.64228,3484.573503,0,11888.54489,3484.573503,7626.613704,0,0,134736.8421,40421.05263,67368.42105,88421.05263
"P155",28502.02429,0,450143.5407,7485.380117,101052.6316,122488.0383,194331.9838,173233.0827,272402.746,176027.1647,124372.4696,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0
"P158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11228.07018,0
"P159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.177529,0,0,0,3962.848297,0,0,0,25263.15789,11228.07018,13473.68421,44912.2807,25263.15789
"P162",12955.46559,0,0,0,0,0,0,5774.43609,0,6519.524618,0,0,0,0,1906.653426,957.8448491,0,0,0,0,0,3484.573503,0,0,0,0,0,0,0
"P164",5182.186235,0,0,0,0,0,0,0,0,0,0,0,1063.711911,0,0,0,0,0,0,0,7925.696594,0,3813.306852,0,0,0,0,0,0
"P165",0,0,0,0,0,0,0,0,0,6519.524618,0,0,0,0,0,0,3141.532588,0,0,0,0,0,0,0,0,0,26947.36842,11228.07018,12631.57895
"P168",0,0,0,0,0,0,0,0,0,0,0,0,10637.11911,8674.045629,22879.84111,17241.20728,11518.95282,10276.5388,3484.573503,18947.36842,11888.54489,13938.29401,0,0,25263.15789,0,80842.10526,22456.14035,25263.15789
